#,Sección,Subsección,Obligatorio?,Curso,URL Oficial,Duración,Esfuerzo (hrs/sem),Semanas (mín),Semanas (máx),Horas Totales (mín),Horas Totales (máx),Prerrequisitos,Notas Extra,Tópicos de la Sección,Estado,Fecha Inicio,Fecha Fin,Notas Personales
1,Intro CS,1. Intro CS,OBLIGATORIO,Introduction to Computer Science and Programming using Python,https://github.com/ossu/computer-science/blob/master/coursepages/intro-cs/README.md,14 weeks,6-10 hours/week,14,14,84,140,high school algebra,,"computation, imperative programming, basic data structures and algorithms, and more",🔴 No iniciado,,,
2,Core CS,2. Core Programming,OBLIGATORIO,Systematic Program Design,https://github.com/ossu/computer-science/blob/master/coursepages/spd/README.md,13 weeks,8-10 hours/week,13,13,104,130,none,,"functional programming, design for testing, program requirements, common design patterns, unit testing, object-oriented design, static typing, dynamic typing, ML-family languages (via Standard ML), Lisp-family languages (via Racket), Ruby, and more",🔴 No iniciado,,,
3,Core CS,2. Core Programming,OBLIGATORIO,Class-based Program Design,https://github.com/ossu/computer-science/blob/master/coursepages/class-based/README.md,13 weeks,5-10 hours/week,13,13,65,130,"Systematic Program Design, High School Math",,"functional programming, design for testing, program requirements, common design patterns, unit testing, object-oriented design, static typing, dynamic typing, ML-family languages (via Standard ML), Lisp-family languages (via Racket), Ruby, and more",🔴 No iniciado,,,
4,Core CS,2. Core Programming,OBLIGATORIO,Programming Languages,https://courses.cs.washington.edu/courses/cse341/19sp/#lectures,11 weeks,4-8 hours/week,11,11,44,88,Systematic Program Design,,"functional programming, design for testing, program requirements, common design patterns, unit testing, object-oriented design, static typing, dynamic typing, ML-family languages (via Standard ML), Lisp-family languages (via Racket), Ruby, and more",🔴 No iniciado,,,
5,Core CS,2. Core Programming,OBLIGATORIO,Object-Oriented Design,https://course.ccs.neu.edu/cs3500f19/,13 weeks,5-10 hours/week,13,13,65,130,Class-based Program Design,,"functional programming, design for testing, program requirements, common design patterns, unit testing, object-oriented design, static typing, dynamic typing, ML-family languages (via Standard ML), Lisp-family languages (via Racket), Ruby, and more",🔴 No iniciado,,,
6,Core CS,2. Core Programming,OBLIGATORIO,Software Architecture,https://www.coursera.org/learn/software-architecture,4 weeks,2-5 hours/week,4,4,8,20,Object Oriented Design,,"functional programming, design for testing, program requirements, common design patterns, unit testing, object-oriented design, static typing, dynamic typing, ML-family languages (via Standard ML), Lisp-family languages (via Racket), Ruby, and more",🔴 No iniciado,,,
7,Core CS,3. Core Math,OBLIGATORIO,Calculus 1A: Differentiation,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+18.01.1x+2T2019/about,13 weeks,6-10 hours/week,13,13,78,130,high school math,The alternate covers this and the following 2 courses,"discrete mathematics, mathematical proofs, basic statistics, O-notation, discrete probability, and more",🔴 No iniciado,,,
8,Core CS,3. Core Math,OBLIGATORIO,Calculus 1B: Integration,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+18.01.2x+3T2019/about,13 weeks,5-10 hours/week,13,13,65,130,Calculus 1A,-,"discrete mathematics, mathematical proofs, basic statistics, O-notation, discrete probability, and more",🔴 No iniciado,,,
9,Core CS,3. Core Math,OBLIGATORIO,Calculus 1C: Coordinate Systems & Infinite Series,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+18.01.3x+1T2020/about,6 weeks,5-10 hours/week,6,6,30,60,Calculus 1B,-,"discrete mathematics, mathematical proofs, basic statistics, O-notation, discrete probability, and more",🔴 No iniciado,,,
10,Core CS,3. Core Math,OBLIGATORIO,Mathematics for Computer Science,https://openlearninglibrary.mit.edu/courses/course-v1:OCW+6.042J+2T2019/about,13 weeks,5 hours/week,13,13,65,65,Calculus 1C,[2015/2019 solutions](https://github.com/spamegg1/Math-for-CS-solutions) [2010 solutions](https://github.com/frevib/mit-cs-math-6042-fall-2010-problems) [2005 solutions](https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-042j-mathematics-for-computer-science-fall-2005/assignments/).,"discrete mathematics, mathematical proofs, basic statistics, O-notation, discrete probability, and more",🔴 No iniciado,,,
